data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
7937205,231,ETH6754,6754,"28 April 2021",2021,2,"Violence against civilians",Attack,"Unidentified Ethnic Militia (Ethiopia)",,4,"Civilians (Ethiopia)","Amhara Ethnic Group (Ethiopia)",7,47,"Eastern Africa",Ethiopia,SNNP,"Bench Sheko",Gurafereda,Gurafarda,6.8507,35.0784,2,"Channel 4",International,"Around 28 April 2021 (week of), at least 40 ethnic Amhara were killed by unidentified ethnic militias in areas around Gurafarda (Bench Sheko, SNNP). Of those fatalities, 6 people killed in nearby locations and coded separately.",34,1620675925,ETH
7927652,231,ETH6744,6744,"26 April 2021",2021,1,Battles,"Armed clash","TPLF: Tigray Peoples Liberation Front",,3,"Police Forces of Ethiopia (2018-) Amhara Regional Special Forces",,1,13,"Eastern Africa",Ethiopia,Amhara,"Wag Hamra",Abergele,Nirak,13.05,38.9833,1,"Deutsche Welle",International,"On 26 April 2021, suspected TPLF associated militants launched an attack against Amhara special forces in Nirak town (Wag Hamra, Amhara regional state), killing 11 people, including civilians. TPLF sources claim to have successfully taken control of a weapons store and gained provisions before leaving the town, while government communications claim that the Amhara regional special forces successfully repelled the attack.",11,1620076267,ETH
7927653,231,ETH6743,6743,"25 April 2021",2021,1,"Violence against civilians",Attack,"Unidentified Armed Group (Ethiopia)",,3,"Civilians (Ethiopia)","Teachers (Ethiopia)",7,37,"Eastern Africa",Ethiopia,Oromia,"Kellem Wollega","Denbi Dollo town","Dembi Dolo",8.5333,34.8,1,"Deutsche Welle",International,"On 25 April 2021, suspected security forces in Dembi Dolo (Kellem Wollega, Oromia) shot and killed a university teacher in a raid on his house. Police denied involvement in the incident and claimed that militants from Abba Torbe had conducted the attack instead.",1,1620076267,ETH
7927655,231,ETH6741,6741,"25 April 2021",2021,1,Protests,"Peaceful protest","Protesters (Ethiopia)","Amhara Ethnic Group (Ethiopia)",6,,,0,60,"Eastern Africa",Ethiopia,Amhara,"East Gojam","Enarj Enawga","Debre Werk",10.6612,38.1623,1,"Deutsche Welle",International,"On 25 April 2021, demonstrators gathered in Debre Werk (East Gojam, Amhara), denouncing continued killing and displacement of ethnic Amhara across Ethiopia. [size=no report]",0,1620076267,ETH
7927656,231,ETH6739,6739,"25 April 2021",2021,1,Protests,"Peaceful protest","Protesters (Ethiopia)","Amhara Ethnic Group (Ethiopia)",6,,,0,60,"Eastern Africa",Ethiopia,Amhara,"East Gojam","Bechena Town",Bichena,10.45,38.2,1,"Deutsche Welle",International,"On 25 April 2021, demonstrators gathered in Bichena (East Gojam, Amhara regional state), denouncing continued killing and displacement of ethnic Amhara across Ethiopia. [size=no report]",0,1620076267,ETH
7927657,231,ETH6742,6742,"25 April 2021",2021,1,Protests,"Peaceful protest","Protesters (Ethiopia)","Amhara Ethnic Group (Ethiopia)",6,,,0,60,"Eastern Africa",Ethiopia,Amhara,"West Gojam",Dembecha,Dembecha,10.55,37.4833,1,"Deutsche Welle",International,"On 25 April 2021, demonstrators gathered in Dembecha (West Gondar, Amhara regional state), denouncing continued killing and displacement of ethnic Amhara across Ethiopia. [size=no report]",0,1620076267,ETH
7927658,231,ETH6740,6740,"25 April 2021",2021,1,Protests,"Peaceful protest","Protesters (Ethiopia)","Amhara Ethnic Group (Ethiopia)",6,,,0,60,"Eastern Africa",Ethiopia,Amhara,"East Gojam","Debre Markos town","Debre Markos",10.35,37.7333,1,"Deutsche Welle",International,"On 25 April 2021, demonstrators gathered in Debre Markos town (East Gojam, Amhara), denouncing continued killing and displacement of ethnic Amhara across Ethiopia. [size=no report]",0,1620076267,ETH
7992819,231,ETH6760,6760,"25 April 2021",2021,1,"Violence against civilians",Attack,"Military Forces of Ethiopia (2018-)","Military Forces of Eritrea (1993-)",1,"Civilians (Ethiopia)",,7,17,"Eastern Africa",Ethiopia,Tigray,"Eastern Tigray","Hawzen town",Hawzen,13.9784,39.4297,2,"BBC News",International,"On 25 April 2021, Ethiopian federal troops shot and killed 4 people in a village near Hawzen (Eastern, Tigray).",4,1621889044,ETH
7928077,231,ETH6738,6738,"24 April 2021",2021,1,"Violence against civilians",Attack,"Afar Ethnic Militia (Ethiopia)",,4,"Civilians (Ethiopia)","Somali Ethnic Group (Ethiopia); Pastoralists (Ethiopia)",7,47,"Eastern Africa",Ethiopia,Somali,Siti,Shinile,Shinile,9.6881,41.8447,2,"Voss TV",Subnational,"On 24 April 2021, Afar ethnic militias attacked Somali civilian pastoralists in Boodda village [coded to Shinile] (Sitti, Somali), burning homes. No information on casualties.",0,1620076268,ETH
7927654,231,ETH6737,6737,"24 April 2021",2021,1,Protests,"Peaceful protest","Protesters (Ethiopia)","Amhara Ethnic Group (Ethiopia)",6,,,0,60,"Eastern Africa",Ethiopia,Amhara,"Wag Hamra","Sekota town",Sekota,12.627,39.0343,1,"Deutsche Welle",International,"On 24 April 2021, demonstrators gathered in Sekota town (Wag Hamra, Amhara), denouncing continued killing and displacement of ethnic Amhara across Ethiopia. [size=no report]",0,1620076267,ETH
